,Синоптический индекс станции,Год по Гринвичу,Месяц по Гринвичу,День по Гринвичу,Срок по Гринвичу,Год источника (местный),Месяц источника (местный),День источника (местный),Срок источника (местный),Номер срока в сутках по ПДЗВ,Время местное,Номер часового пояса,Начало метеорологических суток по ПДЗВ,Горизонтальная дальность видимости,Пр.нал.знака >,Общее количество облачности,Количество облачности нижнего яруса,Форма облаков верхнего яруса,Форма облаков среднего яруса,Форма облаков вертикального развития,Слоистые и слоисто-кучевые облака,"Слоисто-дожд,разорванно-дождевые облака",Высота нижней границы облачности,Признак способа определения выс. н. г,Признак наличия облачности ниже уровня станции,Погода между сроками,Погода в срок наблюдения,Направление ветра,Средняя скорость ветра,Признак наличия знака >,Максимальная скорость ветра,Признак наличия знака >,Сумма осадков,Температура поверхности почвы,Температура поверхности почвы по минимальному термометру,Мин. температура пов-сти почвы между сроками,Макс. температура пов-сти почвы между сроками,Температура пов-сти почвы по макс. терм-ру п/встр.,Температура воздуха по сухому терм-ру,Темп.воздуха по смоченному терм-ру,Признак нал. льда на батисте,Температура воздуха по мин. терм-ру,Мин.температура воздуха между сроками,Макс. темперура воздуха между сроками,Темпера воздуха по макс. терм-ру после встрях.,Парциальное давление водяного пара,Указатель точности элемента,Относительная влажность воздуха,Дефицит насыщения водяного пара,Указатель точности элемента,Температура точки росы,Атмосферное давление на уровне станции,Атмосферное давление на уровне моря,Характеристика барической тенденции,Величина барической тенденции,date
0,28537,1966,1,1,15,1966,1,1,18,8,20,4,20,  ,0,10, 6, 8, 2, 0, 0, 3, 500,0,  , 7,71,230, 5,0,  ,0,   0.5, -8.0,     ,     ,     ,     , -8.1,     ,0,     ,     ,     ,     ,     ,1.0, 87,   0.40,1.0,-10.0, 969.4,1012.5, 8, 0.7,1966-01-01
1,28537,1966,1,2,15,1966,1,2,18,8,20,4,20,  ,0,10, 0, 8, 1, 0, 0, 0,    ,0,  , 2, 2,340, 5,0,  ,0,   0.2, -8.0,     ,     ,     ,     , -7.9,     ,0,     ,     ,     ,     ,     ,1.0, 84,   0.60,1.0,-10.0, 962.3,1005.1, 2, 1.2,1966-01-02
2,28537,1966,1,3,15,1966,1,3,18,8,20,4,20,  ,0,12, 0, 5, 0, 0, 0, 0,    ,0,  , 2,10,160, 1,0,  ,0,   0.0,-16.0,     ,     ,     ,     ,-16.6,     ,0,     ,     ,     ,     ,     ,1.0, 87,   0.30,1.0,-19.0, 976.3,1021.3, 7, 0.6,1966-01-03
3,28537,1966,1,4,15,1966,1,4,18,8,20,4,20,  ,0,10, 0, 8, 2, 0, 0, 0,    ,0,  , 2, 2,140, 2,0,  ,0,   0.0,-11.0,     ,     ,     ,     ,-11.3,     ,0,     ,     ,     ,     ,     ,1.0, 85,   0.40,1.0,-13.0, 969.4,1013.2, 6, 0.3,1966-01-04
4,28537,1966,1,5,15,1966,1,5,18,8,20,4,20,  ,0,12, 0, 0, 1, 0, 0, 0,    ,0,  , 2, 2,250, 4,0,  ,0,   0.0, -7.0,     ,     ,     ,     , -6.9,     ,0,     ,     ,     ,     ,     ,1.0, 85,   0.50,1.0, -9.0, 979.8,1023.3, 2, 1.5,1966-01-05
5,28537,1966,1,6,15,1966,1,6,18,8,20,4,20,  ,0,12,12, 0, 0, 0, 2, 0, 800,0,  , 2, 1,140, 1,0,  ,0,   0.0, -6.0,     ,     ,     ,     , -5.6,     ,0,     ,     ,     ,     ,     ,1.0, 90,   0.40,1.0, -7.0, 990.9,1034.7, 2, 0.8,1966-01-06
6,28537,1966,1,7,15,1966,1,7,18,8,20,4,20,  ,0, 1, 0, 1, 0, 0, 0, 0,    ,0,  , 1, 1, 50, 2,0,  ,0,   0.0,-20.0,     ,     ,     ,     ,-18.6,     ,0,     ,     ,     ,     ,     ,1.0, 79,   0.30,1.0,-22.0,1000.3,1046.9, 2, 1.3,1966-01-07
7,28537,1966,1,8,15,1966,1,8,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 2,  0, 0,0,  ,0,   0.0,-25.0,     ,     ,     ,     ,-22.8,     ,0,     ,     ,     ,     ,     ,1.0, 71,   0.30,1.0,-27.0,1001.7,1049.0, 8, 0.1,1966-01-08
8,28537,1966,1,9,15,1966,1,9,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 2,290, 5,0,  ,0,   0.0,-17.0,     ,     ,     ,     ,-13.9,     ,0,     ,     ,     ,     ,     ,1.0, 54,   1.00,1.0,-21.0, 997.9,1043.5, 7, 0.7,1966-01-09
9,28537,1966,1,10,15,1966,1,10,18,8,20,4,20,  ,0,10, 0, 8, 2, 0, 0, 0,    ,0,  , 2, 2, 70, 1,0,  ,0,   0.0,-12.0,     ,     ,     ,     ,-13.1,     ,0,     ,     ,     ,     ,     ,1.0, 63,   0.80,1.0,-18.0, 996.1,1041.3, 4, 0.0,1966-01-10
10,28537,1966,1,11,15,1966,1,11,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 2,160, 1,0,  ,0,   0.0,-17.0,     ,     ,     ,     ,-14.5,     ,0,     ,     ,     ,     ,     ,1.0, 89,   0.20,1.0,-15.0, 993.9,1039.4, 7, 0.7,1966-01-11
11,28537,1966,1,12,15,1966,1,12,18,8,20,4,20,  ,0,12, 0, 0, 1, 0, 0, 0,    ,0,  , 2, 2,  0, 0,0,  ,0,   0.0, -9.0,     ,     ,     ,     , -8.7,     ,0,     ,     ,     ,     ,     ,1.0, 89,   0.40,1.0,-10.0, 987.4,1031.5, 7, 0.4,1966-01-12
12,28537,1966,1,13,15,1966,1,13,18,8,20,4,20,  ,0,10, 6, 8, 1, 0, 0, 3, 600,0,  , 7,71, 20, 5,0,  ,0,   0.3,-12.0,     ,     ,     ,     ,-12.1,     ,0,     ,     ,     ,     ,     ,1.0, 90,   0.20,1.0,-13.0, 988.1,1032.9, 2, 1.0,1966-01-13
13,28537,1966,1,14,15,1966,1,14,18,8,20,4,20,  ,0, 2, 0, 1, 0, 0, 0, 0,    ,0,  , 1, 1, 20, 3,0,  ,0,   0.0,-26.0,     ,     ,     ,     ,-26.7,     ,0,     ,     ,     ,     ,     ,1.0, 76,   0.20,1.0,-30.0, 994.2,1042.3, 2, 0.1,1966-01-14
14,28537,1966,1,15,15,1966,1,15,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 2,  0, 0,0,  ,0,   0.0,-32.0,     ,     ,     ,     ,-28.6,     ,0,     ,     ,     ,     ,     ,1.0, 66,   0.20,1.0,-34.0, 989.5,1037.7, 7, 0.4,1966-01-15
15,28537,1966,1,16,15,1966,1,16,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 2,  0, 0,0,  ,0,   0.0,-31.0,     ,     ,     ,     ,-28.8,     ,0,     ,     ,     ,     ,     ,1.0, 78,   0.20,1.0,-31.0, 988.5,1036.7, 3, 0.3,1966-01-16
16,28537,1966,1,17,15,1966,1,17,18,8,20,4,20,  ,0, 1, 0, 1, 0, 0, 0, 0,    ,0,  , 0, 2,  0, 0,0,  ,0,   0.0,-30.0,     ,     ,     ,     ,-28.2,     ,0,     ,     ,     ,     ,     ,1.0, 78,   0.10,1.0,-30.0, 988.7,1036.8, 4, 0.0,1966-01-17
17,28537,1966,1,18,15,1966,1,18,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 2,160, 2,0,  ,0,   0.0,-28.0,     ,     ,     ,     ,-25.1,     ,0,     ,     ,     ,     ,     ,1.0, 63,   0.30,1.0,-30.0, 992.6,1040.1, 2, 0.4,1966-01-18
